# FORMAT_VERSION,1.0
# SAMPLE_RATE_HZ,200
# NUM_CHANNELS,8
# SUBJECT_ID,synthetic_001
# GESTURE_LABELS,Rest,Fist,Open,PinchIndex,PinchMiddle,Point,ThumbUp,Victory
# DURATION_S,20.0
timestamp_ms,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,gesture_label,gesture_id
0.000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,Rest,0
5.000,-0.000004,0.000002,0.000004,0.000007,0.000008,0.000002,-0.000004,0.000006,Rest,0
10.000,-0.000028,-0.000017,0.000047,-0.000019,0.000007,-0.000042,0.000002,-0.000012,Rest,0
15.000,0.000064,0.000028,-0.000071,-0.000052,-0.000049,0.000059,0.000023,-0.000049,Rest,0
20.000,-0.000020,-0.000021,-0.000079,0.000076,-0.000123,0.000107,0.000115,0.000058,Rest,0
25.000,0.000173,-0.000071,-0.000190,-0.000027,0.000189,-0.000126,-0.000130,-0.000062,Rest,0
30.000,-0.000069,0.000035,0.000042,0.000075,0.000546,-0.000157,-0.000145,0.000120,Rest,0
35.000,-0.000276,0.000284,0.000669,-0.000075,-0.000655,0.000256,0.000038,-0.000044,Rest,0
40.000,0.000015,-0.000472,-0.000052,-0.000096,-0.000100,0.000276,0.000000,0.000087,Rest,0
45.000,0.000402,-0.000651,0.000003,0.000153,-0.000695,-0.000355,-0.000236,-0.000323,Rest,0
50.000,-0.000292,0.002223,-0.000602,0.001096,0.001019,-0.000142,-0.000189,0.000158,Rest,0
55.000,-0.000737,-0.000674,-0.000018,-0.000682,-0.000301,-0.000421,0.001423,-0.000086,Rest,0
60.000,0.000789,-0.000298,-0.000011,-0.001072,-0.000328,0.000592,0.000002,-0.000031,Rest,0
65.000,0.000362,0.000545,0.000298,0.000163,0.001903,-0.000071,-0.000427,0.002153,Rest,0
70.000,0.000434,-0.002901,0.000086,0.000257,-0.001541,-0.000306,-0.001760,-0.001554,Rest,0
75.000,-0.001081,0.000335,-0.002141,-0.000596,-0.001770,-0.000511,0.001441,-0.000584,Rest,0
80.000,0.000318,0.001399,0.000494,-0.001053,0.000008,0.001406,-0.001067,-0.000869,Rest,0
85.000,0.000685,0.001765,0.005470,0.002941,0.002869,-0.001982,0.000336,-0.000960,Rest,0
90.000,-0.002714,0.001938,0.000439,0.000684,0.001856,0.003642,0.000755,0.001998,Rest,0
95.000,-0.001253,-0.002023,-0.006124,-0.002531,-0.000322,-0.000040,0.002850,0.002476,Rest,0
100.000,0.003389,-0.002808,-0.002325,-0.000001,-0.002464,-0.002096,-0.001163,-0.001669,Rest,0
105.000,0.002838,-0.004208,0.004371,0.000971,0.002576,0.000805,-0.003600,-0.005183,Rest,0
110.000,0.002574,0.000191,0.002963,-0.000379,-0.004917,-0.006614,0.001140,0.004267,Rest,0
115.000,-0.006628,0.008697,-0.001024,-0.000636,0.002663,0.001558,0.000836,0.005789,Rest,0
120.000,-0.001971,0.001515,-0.005148,0.000344,-0.004671,0.008908,-0.008502,-0.005739,Rest,0
125.000,-0.000133,-0.000650,-0.004372,0.001333,0.001880,0.000622,0.002328,-0.006051,Rest,0
130.000,0.006775,-0.001599,0.002846,-0.003114,0.000632,-0.003281,0.010849,0.011029,Rest,0
135.000,-0.000677,-0.006454,0.006351,0.006404,0.000239,-0.003901,-0.000423,-0.002456,Rest,0
140.000,-0.003009,0.000866,0.003761,-0.003827,0.001437,0.000350,0.003372,-0.006881,Rest,0
145.000,-0.005724,-0.001691,-0.003559,-0.000159,-0.001123,0.001556,-0.003178,0.000698,Rest,0
150.000,0.003819,0.002844,0.009571,0.009159,0.011747,-0.004504,-0.002956,0.005381,Rest,0
155.000,0.003132,-0.001283,-0.006725,-0.007436,-0.002792,-0.000598,-0.002603,-0.002247,Rest,0
160.000,-0.000108,0.004821,-0.012158,-0.003565,-0.005857,-0.004250,0.000370,0.003212,Rest,0
165.000,0.003661,0.005664,-0.010424,-0.011080,-0.013007,0.019278,-0.006646,0.001133,Rest,0
170.000,-0.005939,0.000228,0.011680,-0.001478,0.005045,0.004784,0.003920,-0.007950,Rest,0
175.000,0.001220,-0.008030,0.009877,0.013879,0.003327,-0.010698,-0.003729,0.003718,Rest,0
